"id","text","answer","a","b","c","d"
"1","A patient presents with acute asthma exacerbation. Which medication should be applied immediately to relieve bronchospasm?","Albuterol","Albuterol","Montelukast","Fluticasone","Theophylline"
"2","A patient with a history of peptic ulcer disease presents with severe epigastric pain and signs of peritonitis. What is the most appropriate initial diagnostic test to apply?","CT scan of the abdomen","Abdominal ultrasound","Upper endoscopy","Abdominal X-ray","CT scan of the abdomen"
"3","A patient with chronic kidney disease (CKD) is found to have hyperkalemia. Which intervention should be applied to rapidly lower the serum potassium level?","Administering insulin and glucose","Administering calcium gluconate","Administering insulin and glucose","Administering sodium bicarbonate","Administering loop diuretics"
"4","A patient with atrial fibrillation is at risk for thromboembolism. Which medication should be applied to reduce this risk?","Warfarin","Aspirin","Warfarin","Clopidogrel","Heparin"
"5","A patient with suspected bacterial meningitis requires immediate treatment. Which antibiotic regimen should be applied empirically?","Ceftriaxone and vancomycin","Amoxicillin and clavulanate","Ceftriaxone and vancomycin","Azithromycin and doxycycline","Metronidazole and ciprofloxacin"
"6","A patient with type 2 diabetes presents with a blood glucose level of 450 mg/dL and ketones in the urine. What is the most appropriate initial treatment to apply?","Intravenous insulin","Oral hypoglycemic agents","Intravenous insulin","Dietary modification","Exercise"
"7","A patient with chronic obstructive pulmonary disease (COPD) experiences an acute exacerbation. Which intervention should be applied to improve oxygenation?","Oxygen therapy","Oral corticosteroids","Inhaled bronchodilators","Antibiotics","Oxygen therapy"
"8","A patient with deep vein thrombosis (DVT) is started on anticoagulation therapy. Which laboratory test should be applied to monitor the effectiveness of warfarin therapy?","Prothrombin time (PT)/INR","Complete blood count (CBC)","Prothrombin time (PT)/INR","Activated partial thromboplastin time (aPTT)","D-dimer"
"9","A patient with hyperthyroidism is scheduled for thyroidectomy. Which medication should be applied preoperatively to reduce the risk of thyroid storm?","Methimazole","Levothyroxine","Methimazole","Propranolol","Radioactive iodine"
"10","A patient with acute myocardial infarction (MI) is being treated in the emergency department. Which intervention should be applied to restore coronary blood flow?","Thrombolytic therapy","Beta-blockers","Thrombolytic therapy","ACE inhibitors","Statins"
