"id","text","answer","a","b","c","d"
"1","What is the primary function of the liver?","To filter blood","To filter blood","To pump blood","To produce insulin","To store calcium"
"2","Which vitamin is essential for calcium absorption in the body?","Vitamin D","Vitamin D","Vitamin C","Vitamin B12","Vitamin K"
"3","What is the main function of hemoglobin in the blood?","To transport oxygen","To transport oxygen","To fight infections","To clot blood","To digest food"
"4","Which organ is primarily responsible for regulating blood sugar levels?","Pancreas","Pancreas","Liver","Kidney","Heart"
"5","What is the primary function of the kidneys?","To filter waste from the blood","To filter waste from the blood","To produce red blood cells","To regulate body temperature","To store bile"
"6","Which hormone is responsible for regulating metabolism?","Thyroxine","Thyroxine","Insulin","Adrenaline","Estrogen"
"7","What is the main function of platelets in the blood?","To clot blood","To clot blood","To transport oxygen","To fight infections","To carry nutrients"
"8","Which part of the brain is responsible for coordinating voluntary movements?","Cerebellum","Cerebellum","Cerebrum","Medulla oblongata","Hypothalamus"
"9","What is the primary function of the small intestine?","To absorb nutrients","To absorb nutrients","To store bile","To filter blood","To produce insulin"
"10","Which organ is responsible for producing bile?","Liver","Liver","Pancreas","Gallbladder","Stomach"
